Name		Cost															Damage				Adv. Map			
Singular	Plural	Wood	Mercury	Ore	Sulfur	Crystal	Gems	Gold	Fight Value	AI Value	Growth	Horde Growth	Hit Points	Speed	Attack	Defense	Low	High	Shots	Spells	Low	High	Ability Text	"Attributes (Reference only, do not change these values)"
Emissary of War	Emissaries of War	0	0	0	0	0	0	30000	10	20000	0	0	2000	4	0	10	0	0	0	0	0	0	"Increases Hero's Attack Skill by 1-3 per week"	
Emissary of Peace	Emissaries of Peace	0	0	0	0	0	0	30000	10	20000	0	0	2000	4	0	10	0	0	0	0	0	0	"Increase Hero's Defense Skill by 1-3 per week"	
Emissary of Mana	Emissaries of Mana	0	0	0	0	0	0	30000	10	20000	0	0	2000	4	0	10	0	0	0	0	0	0	"Increase Hero's Spell Power by 1-3 per week"	
Emissary of Lore	Emissaries of Lore	0	0	0	0	0	0	30000	10	20000	0	0	2000	4	0	10	0	0	0	0	0	0	"Increase Hero's Knowledge by 1-3 per week"	
Fire Messenger	Fire Messengers	0	0	0	0	0	0	750	775	775	2	0	70	5	14	12	13	18	0	0	8	10	"Protected against fire spells.
No fear."	
Earth Messenger	Earth Messengers	0	0	0	0	0	0	750	775	775	2	0	70	5	13	14	10	14	0	0	8	10	"Protected against earth spells.
No fear."	
Air Messenger	Air Messengers	0	0	0	0	0	0	750	775	775	2	0	70	6	13	12	10	14	0	0	8	10	"Protected against air spells.
No fear."	
Water Messenger	Water Messengers	0	0	0	0	0	0	750	775	775	2	0	80	5	13	12	10	14	0	0	8	10	"Protected against water spells.
No fear."	
Gorynych	Gorynyches	0	0	0	0	10	0	12000	12272	12931	1	0	500	14	25	30	25	50	0	0	2	5	"Attacks all adjacent enemies.
No fear. No Enemy retaliation."	DOUBLE_WIDE | KING_1 | MULTI_HEADED
War Zealot	War Zealots	0	0	0	0	0	0	600	700	1000	2	0	45	9	14	12	10	12	24	0	6	10	"Protected by Magic Mirror.
No fear. No melee penalty. Attack twice."	SHOOTING_ARMY | const_no_melee_penalty
Arctic Sharpshooter	Arctic Sharpshooters	0	0	0	0	0	0	500	500	700	3	0	15	9	13	10	8	10	32	1	8	12	"No walls or range penalty.
No fear. Air shield."	SHOOTING_ARMY | const_no_wall_penalty
Lava Sharpshooter	Lava Sharpshooters	0	0	0	0	0	0	500	500	700	3	0	15	9	12	11	8	10	32	1	8	12	"No walls or range penalty.
No fear. Fire shield."	SHOOTING_ARMY | const_no_wall_penalty
Nightmare	Nightmares	0	0	0	0	0	0	1500	2050	2400	2	0	110	9	18	16	20	24	0	0	5	10	"Extended Death stare. No fear.
Mind spell immunity."	DOUBLE_WIDE
Santa Gremlin	Santa Gremlins	0	0	0	0	0	0	200	300	300	16	0	5	5	5	5	2	3	0	1000	20	50	"Ice Bolt attack. 
Summon guards."	0
Paladin	Paladins	0	0	0	0	0	0	140	130	156	9	0	50	5	5	5	10	10	24	0	16	25		SHOOTING_ARMY
Hierophant	Hierophants	0	0	0	0	0	0	140	130	156	9	0	50	5	5	5	10	10	24	0	16	25		SHOOTING_ARMY
Temple Guardian	Temple Guardians	0	0	0	0	0	0	140	130	156	9	0	50	5	5	5	10	10	24	0	16	25		SHOOTING_ARMY
Succubus	Succubuses	0	0	0	0	0	0	140	130	156	9	0	50	5	5	5	10	10	24	0	16	25		SHOOTING_ARMY
Soul Eater	Soul Eaters	0	0	0	0	0	0	140	130	156	9	0	50	5	5	5	10	10	24	0	16	25		SHOOTING_ARMY
Brute	Brutes	0	0	0	0	0	0	140	130	156	9	0	50	5	5	5	10	10	24	0	16	25		SHOOTING_ARMY
Ogre Leader	Ogre Leaders	0	0	0	0	0	0	140	130	156	9	0	50	5	5	5	10	10	24	0	16	25		SHOOTING_ARMY
Shaman	Shamans	0	0	0	0	0	0	140	130	156	9	0	50	5	5	5	10	10	24	0	16	25		SHOOTING_ARMY
Astral Spirit	Astral Spirits	0	0	0	0	0	0	140	130	156	9	0	50	5	5	5	10	10	24	0	16	25		SHOOTING_ARMY
Paladin	Paladins	0	0	0	0	0	0	140	130	156	9	0	50	5	5	5	10	10	24	0	16	25		SHOOTING_ARMY
Hierophant	Hierophants	0	0	0	0	0	0	140	130	156	9	0	50	5	5	5	10	10	24	0	16	25		SHOOTING_ARMY
Temple Guardian	Temple Guardians	0	0	0	0	0	0	140	130	156	9	0	50	5	5	5	10	10	24	0	16	25		SHOOTING_ARMY
Succubus	Succubuses	0	0	0	0	0	0	140	130	156	9	0	50	5	5	5	10	10	24	0	16	25		SHOOTING_ARMY
Soul Eater	Soul Eaters	0	0	0	0	0	0	140	130	156	9	0	50	5	5	5	10	10	24	0	16	25		SHOOTING_ARMY
Brute	Brutes	0	0	0	0	0	0	140	130	156	9	0	50	5	5	5	10	10	24	0	16	25		SHOOTING_ARMY
Ogre Leader	Ogre Leaders	0	0	0	0	0	0	140	130	156	9	0	50	5	5	5	10	10	24	0	16	25		SHOOTING_ARMY
Shaman	Shamans	0	0	0	0	0	0	140	130	156	9	0	50	5	5	5	10	10	24	0	16	25		SHOOTING_ARMY
Astral Spirit	Astral Spirits	0	0	0	0	0	0	140	130	156	9	0	50	5	5	5	10	10	24	0	16	25		SHOOTING_ARMY
Sylvan Centaur	Sylvan Centaurs	0	0	0	0	0	0	125	130	165	14	0	12	8	7	5	2	4	24	0	20	30	Shoots twice.
Merry.	SHOOTING_ARMY | const_two_attacks
Sorceress	Sorceresses	0	0	0	0	0	0	600	800	1150	2	0	35	8	15	13	10	13	24	0	5	12	Ranged spell caster.	SHOOTING_ARMY
Dire Werewolf	Dire Werewolves	0	0	0	0	0	0	350	554	576	5	0	30	7	11	10	6	11	0	0	10	16	"Lycanthropy (x2 if full moon).
Berserk if full moon: days 14-16"
Undead. Damage reduced by 25%.	0
Hell Stallion	Hell Stallions	0	0	0	0	0	0	1100	1850	2150	2	0	100	8	15	15	18	24	0	0	5	10	Fire Shield. Fire Wall.
Immune to Fire Magic.	DOUBLE_WIDE
Dracolich	Dracoliches	0	15	0	0	0	0	25000	40000	55000	1	1	800	16	45	45	50	80	5	0	1	3	Undead.  -1 to enemy morale. 20% Magic Resist. 20% Block.	DOUBLE_WIDE
Royal Halberdier	Royal Halberdiers	0	0	0	0	0	0	90	149	149	14	0	10	6	7	6	2	4	0	0	20	30	Immune to Champion charge bonus.	
Crossbowman	Crossbowmen	0	0	0	0	0	0	200	232	278	9	0	10	7	7	4	2	3	24	0	12	20	Shoots twice.	
Cesar Griffin	Cesar Griffins	0	0	0	0	0	0	280	491	575	7	3	25	10	9	9	4	6	0	0	12	20	Unlimited retaliations. Fearless.	
Dragon Slayer	Dragon Slayers	0	0	0	0	0	0	620	793	793	4	0	45	8	13	13	8	10	0	0	10	16	Dragon Slayer. Attack Twice. 
Hate Black Dragons.	
Holy Champion	Holy Champions	0	0	0	0	0	0	3000	2520	2820	2	0	180	12	16	16	30	35	0	0	5	10	Jousting bonus. Good morale.	
Seraph	Seraphim	0	0	0	0	0	8	15000	36500	52600	1	0	750	20	45	45	85	85	0	3	1	3	Prayer. Fearless. Resurrects fallen allies.
Hates Antichrist. No neutral alignment penalty.	
Berserker Dwarf	Berserker Dwarves	0	0	0	0	0	0	190	274	274	8	4	25	6	8	8	3	5	0	0	16	25	60% magic resistance. Bloodlust.	
Golden Pegasus	Golden Pegasi	0	0	0	0	0	0	315	564	718	5	0	40	15	10	10	6	10	0	0	10	16	Magic damper (spell cost +1). No enemy retaliaton.	
Elder Dendroid	Elder Dendroids	0	0	0	0	0	0	690	994	1043	3	2	80	5	12	16	12	16	0	0	8	12	Binds enemies in place. Regeneration.	
Legendary Unicorn	Legendary Unicorns	0	0	0	0	0	0	1100	2836	3042	2	0	150	10	16	14	20	22	0	0	5	10	Aura of magic resistance. Blinding attack. 
Unlimited retaliations. Fearless.	
Pure Diamond Dragon	Pure Diamond Dragons	0	0	0	0	8	0	12000	37500	51000	1	0	800	20	45	50	70	80	0	0	1	3	Spells Immunity. Fearless. Hero spells cost less (-5). 
Hates Dragons Undead.	
Marble Gargoyle	Marble Gargoyles	0	0	0	0	0	0	190	155	201	9	4	16	10	9	9	2	4	0	0	16	25	No morale penalty.	
Steel Golem	Steel Golems	0	0	0	0	0	0	400	597	597	6	0	45	6	10	11	6	8	0	0	12	20	Damage from spells reduced 80%.	 
Arcane Genie	Arcane Genies	0	0	0	0	0	0	920	1047	1318	3	0	55	13	15	13	14	20	0	3	8	12	Spellcaster: Random benefit. Hates Efreet Rajah. 
Drain mana. Mind immune.	
Naga Empress	Naga Empresses	0	0	0	0	0	0	2400	3603	4118	2	0	150	9	18	12	35	35	0	0	5	10	No enemy retaliation. Attack in 3-HEX around.
Death blow. Inmune to joust. bonus.	
Guardian of Zeus	Guardians of Zeus	0	0	0	0	0	7	15000	34000	55000	1	0	750	15	40	45	65	80	24	1	1	3	Shoot twice.Chain Lightning. Lightning Immunity. No obstacle penalty.
Titan's Lightning Bolt.	
Vermin	Vermins	0	0	0	0	0	0	90	97	90	15	8	6	9	6	5	2	4	0	0	20	30	Magic channel. Fly. Hates Santa Gremlin.	
Winged Magog	Winged Magogs	0	0	0	0	0	0	350	343	420	8	0	13	7	9	5	4	6	24	1	16	25	Fly. Fire shield. 
Inmune to fire spells.	
Astral Cerberi	Astral Cerberus	0	0	0	0	0	0	280	425	478	5	3	25	9	12	8	4	7	0	0	12	20	3-headed attack. Enemies cannot retaliate. 
Poisonous. Hates Cesar Griffin. Fearless	
Sharp-Horned Demon	Sharp-Horned Demons	0	0	0	0	0	0	300	720	720	4	0	45	8	10	10	7	10	0	0	10	16	Attack twice. Death blow.	
Pit Master	Pit Masters	0	0	0	0	0	0	950	1320	1513	3	0	55	8	13	13	14	17	0	1	8	12	Summon horned demons from a dead ally. 
No retaliation. Attack around.	
Efreeti Rajah	Efreeti Rajahs	0	0	0	0	0	0	1300	2002	2402	2	0	100	15	20	16	18	25	0	1	5	10	Fire shield. Immune to fire. Hates A. Genies. 
Fire wall. Spellcaster: Fire shield. 
Mind immunity.	
Antichrist	Antichrists	0	7	0	0	0	0	12000	38500	51400	1	0	650	19	40	40	55	65	0	0	1	3	Fearless.Stone gaze. 
Mind immunity. Rage.	
Skeleton Knight	Skeleton Knights	0	0	0	0	0	0	95	110	110	12	6	6	5	7	9	2	3	0	0	20	30	Undead. Attack twice.	
Nosferatu	Nosferatus	0	0	0	0	0	0	550	847	1047	4	0	50	10	12	12	5	8	0	0	10	16	Undead. Drains life. 
No enemy retaliation.	
Lich King	Lich Kings	0	0	0	0	0	0	650	1155	1402	3	0	45	8	15	10	13	15	24	1	8	12	Undead. Death cloud attack. 
Summon skeletons from a dead ally. 
Precision. Hates Mage.	
Death Knight	Death Knights	0	0	0	0	0	0	3000	2637	3096	2	0	150	10	20	20	20	35	0	0	5	10	Undead. Curses enemies. Death blow attack. 
Death stare. Hates Holy Champion.	
Red Bones Dragon	Red Bones Dragons	0	6	0	0	0	0	9000	24000	30000	1	0	650	18	30	27	60	80	0	0	1	3	Undead. Age attack. Drain life. 
Regeneration. Fear. 
No enemy retaliation.	
Phosphorescent Troglodyte	Phosphorescent Troglodytes	0	0	0	0	0	0	75	98	98	14	7	6	6	5	5	1	4	0	0	20	30	Immune to Meteor Shower. 
Fearless. Hates Fairy.	
Monstrous Eye	Monstrous Eyes	0	0	0	0	0	0	330	332	413	7	0	22	7	12	10	3	5	24	0	12	20	No melee penalty. 
Hypnotize. Espionage.	
Harpy Sanguinary	Harpy Sanguinaries	0	0	0	0	0	0	230	254	209	8	0	14	10	8	6	2	4	0	0	16	25	Strike and return. 
No enemy retaliation. 
Age Attack. Fearless.	
Medusa Empress	Medusa Empresses	0	0	0	0	0	0	370	549	750	4	0	35	8	10	10	6	8	16	0	10	16	No melee penalty. Stone gaze.
Attack Twice.	
Black Minotaur	Black Minotaurs	0	0	0	0	0	0	630	1157	1388	3	0	50	8	15	15	15	20	0	0	8	12	Mirth. Death blow. Fearless.	
Chimera	Chimeras	0	0	0	0	0	0	1580	2248	2589	2	0	110	13	20	16	18	24	0	0	5	10	Acid breath. Dispel helpful spells. 
Attack with 3 heads. Inmune to joust. bonus. 
Retaliate thrice. Magic aura.	
Chasm Dragon	Chasm Dragons	0	0	0	8	0	0	15000	40000	52000	1	0	800	20	40	50	65	80	0	0	1	3	Spell Immunity. Fearless. 
Hates Guardian of Zeus.	
Hobgoblin Overlord	Hobgoblin Overlords	0	0	0	0	0	0	70	106	117	15	8	5	7	6	5	1	2	0	0	20	30	Attack twice. Stone Skin. 
Hates Berserker Dwarf.	
Wolf Rider Killer	Wolf Rider Killer	0	0	0	0	0	0	185	226	263	9	0	10	9	9	5	4	4	0	0	16	25	Unlimited retaliations. 
Bloodlust. Attack Twice. 	
Orc Leader	Orc Leaders	0	0	0	0	0	0	210	260	312	7	0	25	7	10	6	3	5	24	0	12	20	Attack twice. Precision. 
Hates Elf. No melee penalty.	
Elder Ogre	Elder Ogres	0	0	0	0	0	0	640	873	873	4	0	65	6	15	8	9	12	0	3	10	16	Spellcaster: Frenzy.	
Lightningbird	Lightningbirds	0	0	0	0	0	0	930	1129	1437	3	0	75	13	15	12	11	15	0	1	8	12	Thunderclap. Lightning Immunity.
 Lightning bolt.	
Cyclops Emperor	Cyclops Emperors	0	0	0	0	0	0	1500	1230	1521	2	0	85	10	20	15	18	20	24	0	5	10	Attacks siege walls.	
Spectral Behemoth	Spectral Behemoths	0	0	0	0	4	0	10000	48750	54750	1	0	750	18	35	30	55	75	0	0	1	3	Ignores obstacles. Ignores defence. 
Death blow. Immune Meteor Shower.	
Centagnoll	Centagnolls	0	0	0	0	0	0	105	120	120	12	0	15	10	6	10	3	5	0	0	20	30	Unlimited Retaliation.	
Elite Lizard	Elite Lizards	0	0	0	0	0	0	260	169	260	9	0	20	6	6	10	3	5	24	0	16	25	Attack twice. Poisonous. 
Ignore obstacles. Ignore Barrier.	
Chaotic Dragon Fly	Chaotic Dragon Flies	0	0	0	0	0	0	367	325	405	8	0	30	15	12	10	5	8	0	0	10	15	Dispels beneficial spells. Weakens enemies. 
Infinite Retailation. Strike and return.	
Lava Basilisk	Lava Basilisks	0	0	0	0	0	0	620	729	928	4	0	67	9	15	13	8	11	0	1	8	12	Petrifying attack. Fire shield. Fire wall. 
Immune to fire spells. Fireball attack.	
Acid Wyvern	Acid Wyverns	0	0	0	0	0	0	1500	1381	1718	2	0	90	14	18	15	20	23	0	0	5	10	Poisonous. Acid attack. 	
Catoblepas	Catoblepas	0	0	0	0	0	0	800	1439	1439	3	0	80	8	16	20	13	16	0	0	12	20	Death stare. Stone Gaze. 
Retaliate thrice.	
Nightmare Hydra	Nightmare Hydras	0	0	0	5	0	0	10000	31500	35500	1	0	800	10	38	45	38	68	0	0	1	3	Acid attack. Can regenerate. Fearless. Fear. 
No enemy retaliation.	
Fairy	Fairies	0	0	0	0	0	0	50	90	104	20	10	3	10	2	2	2	3	0	1	20	30	No enemy retaliation. Magic aura. 
Spellcaster: Bless.	
Hurricane Elemental	Hurricane Elementals	0	0	0	0	0	0	325	421	631	6	0	30	10	10	10	3	8	24	3	6	12	No melee penalty. Lightning and firestorm 
vulnerability. Air shield. Protection from Air. 
Spellcaster: Air shield.	
Life Elemental	Life Elementals	0	0	0	0	0	0	450	410	498	6	0	30	8	10	10	3	7	24	3	12	20	Mind spell immunity. Ice immunity. Attack 
twice. Protection from Water. Ice Bolt attack. 
Regeneration. No Melee penalty.	
Plasma Elemental	Plasma Elementals	0	0	0	0	0	0	500	604	794	5	0	35	10	12	10	4	6	0	3	12	25	Mind & fire immunity. Cold vulnerability. 
Protection from Fire. Fire shield. 
Spellcaster: Fire shield.	
Mineral Elemental	Mineral Elementals	0	0	0	0	0	0	650	637	637	4	0	40	8	11	12	8	10	0	3	16	25	Mind spell immunity. Protection from Earth. 
Lightning immunity. Spellcaster: Stone skin.	
Void Elemental	Void Elementals	0	0	0	0	0	0	1500	2414	2816	2	0	90	10	18	15	20	30	0	0	8	12	Attacks all adjacent enemies w/o retaliation. 
Spell immunity. Magic aura. Magic channel. 
Drain mana. Dispel helpful spells.	
Divine Phoenix	Divine Phoenixes	0	7	0	0	0	0	8000	35500	46000	1	0	600	25	32	32	50	65	0	2	1	3	Fire spell Immunity. Slayer. Rebirth. 
Fire Shield.  Regeneration.
Immunize the army of Armageddon.	
Tiamat	Tiamats	0	0	0	0	25	0	32000	30000	29500	1	0	800	20	35	38	35	70	0	0	1	3	Attacks all adjacent enemies. Fear. 
Fearless. No Enemy retaliation. 
Slayer. Bloodlust. Prayer.	
Necross Dragon	Necross Dragons	0	50	0	0	0	0	50000	185000	155000	1	0	1200	20	80	70	75	100	10	0	1	3	50% Magic Resist. Age. Acid breath. 
Attack twice. Fear. Fearless.	
Grandmaster Gremlin	Grandmaster Gremlins	0	0	0	0	0	0	60	70	80	16	0	6	5	5	4	1	3	24	0	20	30	Shoot twice.	 
Sharpshooter Elf	Sharpshooter Elves	0	0	0	0	0	0	255	230	370	7	0	15	7	10	5	4	5	24	0	12	20	Shoots twice. No obstacle penalty.	
Supreme Arch Mage	Supreme Arch Magi	0	0	0	0	0	0	600	620	740	4	0	35	9	15	10	8	10	24	30	10	16	No melee penalty.
Hero spells cost less.
Ranged spell caster.	
Primal Faerie Dragon	Primal Faerie Dragons	0	0	0	0	0	8	25000	80000	95000	1	0	850	20	30	20	45	65	0	10	1	3	Offensive spell caster. Attack Around.	
Spelllweaver	Spelllweavers	0	0	0	0	0	0	1500	1200	1610	2	0	90	12	20	15	20	20	32	5	5	12	No melee penalty.
Group spell caster.
Ranged spell caster.	
Assassin	Assassins	0	0	0	0	0	0	150	190	190	8	0	17	8	10	5	4	6	0	0	16	30	Spying. Cut throat.	 
Specter	Specters	0	0	0	0	0	0	260	295	345	7	0	20	8	9	7	3	6	0	0	12	20	Undead. Regenerating.
Drains enemy mana.	 
Satyr	Satyrs	0	0	0	0	0	0	300	518	518	4	0	35	7	10	11	6	10	0	3	10	20	Cast Mirth.	 
Fangarm	Fangarms	0	0	0	0	0	0	600	929	929	3	0	50	6	12	12	8	12	0	0	8	16	Fly. Mind spell immunity.
Unlimited retaliations.
Hypnotize.	 
Leprechaun	Leprechauns	0	0	0	0	0	0	100	208	208	9	0	15	5	8	5	3	5	0	3	16	25	Cast Fortune.	 
Topaz Crystal Dragon	Topaz Crystal Dragons	0	0	0	0	3	0	10000	10086	13112	1	0	350	12	20	25	30	45	0	0	1	3		DOUBLE_WIDE | FLYING_ARMY | KING_1
Amethyst Crystal Dragon	Amethyst Crystal Dragons	0	0	0	0	5	0	15000	25130	21669	1	0	550	14	30	30	40	55	0	0	1	3		DOUBLE_WIDE | FLYING_ARMY | KING_1
Emerald Crystal Dragon	Emerald Crystal Dragons	0	0	0	0	15	0	30000	50260	59338	1	0	850	16	50	55	70	80	0	0	1	3	+2 Crystal daily.	DOUBLE_WIDE | FLYING_ARMY | KING_1
Sapphire Crystal Dragon	Sapphire Crystal Dragons	0	0	0	0	25	0	40000	80260	89338	1	0	1000	18	70	80	85	95	0	0	1	3	+3 Crystal daily.	DOUBLE_WIDE | FLYING_ARMY | KING_1
Light Templar	Light Templars	0	0	0	0	0	0	1400	2946	3698	2	0	175	5	15	15	25	45	0	1	4	10	Cast Destroy Undead. Always Moral.
Dryad	Dryads	0	0	0	0	0	0	300	615	648	4	0	35	6	8	12	7	9	0	0	10	20	Can fly. Regeneration.
Drake Golem	Drake Golems	0	0	0	0	0	0	2000	3050	2950	1	0	200	9	16	19	40	50	0	0	4	10	No moral penalty. Damage from spells reduced 40%. Fearless.
Succubus	Succubi	0	0	0	0	0	0	275	481	490	4	0	25	7	12	7	5	8	8	0	10	20	Fly. No melee penalty.
Werewolf	Werewolves	0	0	0	0	0	0	275	503	522	5	0	30	5	11	9	6	11	0	0	10	20	Undead. Damage reduced by 25%
Illithid	Illithids	0	0	0	0	0	0	450	748	789	3	0	30	5	14	9	11	16	0	3	8	16	Cast Hypnotize.
Coatl	Coatls	0	0	0	0	0	0	750	1180	1343	2	0	75	10	16	11	12	18	0	0	5	12	Fly.
Troll Hag	Trolls Hag	0	0	0	0	0	0	550	828	896	3	0	45	6	12	13	10	14	8	0	8	16	Regenerating. Shoot.
Triton	Tritons	0	0	0	0	0	0	210	292	297	6	0	25	6	10	6	2	5	0	0	12	25	Immune to water damage spells.
Light Paladin	Light Paladins	0	0	1	0	0	0	3000	5454	6925	2	0	225	7	20	25	25	45	0	2	3	8	Cast Destroy Undead. Always Moral.
Oak Dryad	Oak Dryads	0	0	0	0	0	0	325	633	668	4	0	35	8	9	13	8	9	0	0	10	16	Can fly. Regeneration. Summon Stump Rider from a dead ally.
Dragon Golem	Dragon Golems	0	0	0	1	0	0	4000	3550	3950	1	0	300	15	18	25	40	50	0	0	3	8	No moral penalty. Damage from spells reduced 80%. Fearless. Preventive Counterstrike.
Lilim	Lilims	0	0	0	0	0	0	400	600	623	4	0	30	11	12	9	5	10	8	0	10	20	Fly. No melee penalty. Fireball attack. Range Retaliation.
Alhoon	Alhoons	0	0	0	0	0	0	550	755	818	3	0	30	6	14	9	13	16	0	3	8	12	Cast Hypnotize.
Quetzalcoatl	Quetzalcoatls	0	0	0	0	0	0	950	1588	1829	2	0	85	14	18	11	18	24	0	0	5	10	Fly. Immune to creatures effects.
Troll Witch	Troll Witches	0	0	0	0	0	0	600	932	1009	3	0	45	7	14	14	12	14	8	0	8	12	Regenerating. Shoot. No melee penalty, Cast slow after attack.
Abyssal Triton	Abyssal Tritons	0	0	0	0	0	0	230	347	354	6	0	25	8	10	7	4	5	0	0	12	20	Immune to water damage spells. Paralyze.
Demilich	Demiliches	0	0	0	0	0	0	1000	1882	1396	2	0	75	11	15	11	15	20	0	0	5	12	Undead, Fly.
Dread Skipper	Dread Skippers	0	0	0	0	0	0	240	311	311	7	0	25	6	8	8	4	5	0	0	12	25	Undead. Cast sorrow before attack.
Mermaid	Mermaids	0	0	0	0	0	0	350	442	459	5	0	30	5	8	12	6	9	0	1	10	16	Immune to water damage spells. Cast Fortune.+500 movement in the sea. 
Whirlpool Protection.
Fire Paladin	Fire Paladins	0	0	0	0	0	0	840	920	920	2	0	50	8	15	13	10	12	0	0	8	14	Fire Shield. Attack Twice. 
Fire Immunity. Fire Wall.
Hates Thunder Warriors.
Ice Knight	Ice Knights	0	0	0	0	0	0	800	915	915	2	0	50	8	13	15	10	12	0	0	8	14	Attack Twice. Ice Bolt attack.
Cold spells Immunity.
Hates Fire Paladins.
Inquisitor	Inquisitors	0	0	0	0	0	0	420	595	595	4	0	35	8	12	12	8	10	0	0	10	16	Strikes twice.
Thunder Warrior	Thunder Warriors	0	0	0	0	0	0	825	925	920	2	0	50	8	14	14	10	12	0	0	8	14	Lightning Immunity.
Attack Twices. Lightning bolt.
Hates Ice Knights.
Centaur General	Centaur Captains	0	0	0	0	0	0	90	150	170	14	0	14	10	7	4	3	4	0	0	20	30	Aura of Bravery. Jousting Bonus.
Vermilion Bird	Vermilion Birds	0	0	0	0	0	0	1100	1181	1518	2	0	70	11	14	14	18	22	0	0	5	10	Fire Immunity.
Fireball attack.
Skeleton Archer	Skeleton Archers	0	0	0	0	0	0	70	85	85	12	0	4	5	6	5	1	2	24	0	20	30	Undead. Shooter.
Red Skeleton	Red Skeletons	0	0	0	0	0	0	45	75	80	20	0	3	4	2	2	1	2	0	3	20	50	Undead. Rebirth. Drains life.
Mana Skeleton	Mana Skeleton	0	0	0	0	0	0	75	115	115	14	0	10	5	10	5	4	5	0	0	20	30	Undead. Drain mana. 
Absorb damage spells.
Gold Skeleton	Gold Skeletons	0	0	0	0	0	0	2500	7000	5000	1	0	1500	7	20	5	40	50	0	0	20	30	Undead.
Sharpshooter Skeleton	Sharpshooter Skeletons	0	0	0	0	0	0	400	415	585	4	0	15	9	12	8	8	10	32	0	5	12	No Range or Barrier penalties.
Undead.	
Conscript	Conscripts	0	0	0	0	0	0	20	25	25	25	0	3	4	1	2	1	2	0	0	20	50	 
Squire	Squires	0	0	0	0	0	0	210	335	335	7	0	30	5	7	7	3	7	0	0	12	25	 
Man at Arms	Men at Arms	0	0	0	0	0	0	245	365	330	7	0	30	6	8	9	3	7	0	0	12	20	No retaliation.
Peon	Peons	0	0	0	0	0	0	50	80	60	14	0	5	4	1	2	1	3	0	0	20	30	+25 gold each unit daily.
Tortofroid	Tortofroids	0	0	0	0	0	0	110	191	196	8	0	16	5	5	6	2	4	0	0	25	30	Reduce enemy defense.
Vile Tortofroid	Vile Tortofroids	0	0	0	0	0	0	145	229	223	8	0	16	7	5	7	2	5	0	0	25	16	Reduce enemy defense.
Disease.
Dark Elemental	Dark Elementals	0	0	0	0	0	0	1450	1850	2160	2	0	90	11	16	12	20	30	0	0	4	8	No retaliation. Fear.
Mind Spell Immunity.
Gigas	Gigas	0	0	0	0	0	0	475	875	875	3	0	45	4	13	16	12	15	0	0	8	15	Reduce enemy defense.
Mind Spell Immunity.
Hill Gigas	Hill Gigas	0	0	0	0	0	0	520	940	940	3	0	50	6	14	18	12	15	0	0	8	15	Reduce enemy defense.
Mind Spell Immunity.
Unlimited retaliations.
Forest Dragon	Forest Dragons	0	0	0	0	0	0	235	357	364	7	0	25	7	7	7	3	6	0	0	12	25	Fly. Dragon.
Swamp Dragon	Swamp Dragons	0	0	0	0	0	0	280	397	404	7	0	25	9	7	9	3	6	0	0	12	20	Fly. Dragon.
Strike and Return.
Venomous.
Moss Thrall	Moss Thralls	0	0	0	0	0	0	240	365	330	7	0	35	5	8	9	3	7	0	0	10	18	Mind Spell Immunity.
Water Walk.
Ravenous Coctatrice	Ravenous Coctatrices	0	0	0	0	0	0	420	661	716	4	0	45	7	10	12	6	9	0	0	10	16	Regeneration. Stone Gaze.
Centamonth Hunter	Centamonth Hunters	2	0	0	0	0	0	2000	3154	3918	1	0	180	7	18	18	36	46	0	0	4	10	Good Morale.
Centamonth Thrower	Centamonth Throwers	4	0	0	0	0	0	2400	3470	4310	1	0	180	7	18	18	36	46	8	0	3	8	Good Morale. Shoots.
Attacks siege walls.
Stump Rider	Stump Riders	0	0	0	0	0	0	240	330	365	7	0	35	5	8	9	3	7	0	0	10	18	 
Baba Yaga	Baba Yagas	0	0	0	0	0	0	435	670	720	4	0	30	7	13	10	6	10	12	0	10	20	Death cloud.
Ranged spell caster.
Will-o-wisp	Will-o-wisp	0	0	0	0	0	0	80	110	105	14	0	8	5	2	3	1	2	0	0	20	50	Magic Aura.
Hero spells cost less.
Mana drain.
Archer Rider	Archer Riders	0	0	0	0	0	0	1000	765	803	3	0	80	7	16	14	14	20	12	0	8	16	Range Death Blow.
Titanonaga	Titanonagas	0	0	0	0	0	2	5000	5603	6118	1	0	300	15	25	20	45	45	0	0	3	8	No enemy retaliation. Attack around.
Death blow. Inmune to joust. bonus.
High Priest	High Priests	0	0	0	0	0	0	550	620	870	3	0	35	7	14	10	12	12	24	3	8	12	No melee penalty. Spellcaster: Prayer.
Gnoll Shaman	Gnoll Shamans	0	0	0	0	0	0	80	95	95	12	6	9	6	5	6	2	4	0	3	20	30	Spellcaster: Curse.
Mirage Dragon	Mirage Dragons	0	0	0	0	0	1	3000	4762	5702	1	0	150	12	20	18	35	50	0	0	4	10	Summon clones of Dragons.
Mirror Dragon	Mirror Dragons	0	0	0	0	0	2	5000	7783	9721	1	0	300	15	25	25	40	50	0	0	3	8	Protected by Magic Mirror. Summon stacks of Dragons.
Mithril Golem	Mithril Golems	0	0	0	0	0	0	1000	975	975	2	0	80	7	15	16	12	16	0	0	6	10	Immune to damage spells. +1 Mithril daily.
Shadow Dragon	Shadow Dragons	0	0	0	0	0	0	2000	2220	3188	1	0	120	9	14	13	20	40	0	0	4	10	Undead. Attract dead souls.
